('martico01', 'ballla01', ' makes 2-pt jump shot from 11 ft ', '202110220CLE', '10:48.0')
('sextoco01', 'rubiori01', ' makes 3-pt jump shot from 27 ft ', '202110220CLE', '9:39.0')
('allenja01', 'rubiori01', ' makes 2-pt dunk at rim ', '202110220CLE', '9:17.0')
('bridgmi02', 'ballla01', ' makes 2-pt dunk from 2 ft ', '202110220CLE', '9:13.0')
('allenja01', 'rubiori01', ' makes 2-pt dunk from 1 ft ', '202110220CLE', '8:01.0')
('sextoco01', 'markkla01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '7:30.0')
('bridgmi02', 'smithis01', ' makes 3-pt jump shot from 25 ft ', '202110220CLE', '7:00.0')
('oubreke01', 'smithis01', ' makes 2-pt jump shot from 16 ft ', '202110220CLE', '5:58.0')
('sextoco01', 'osmande01', ' makes 2-pt layup from 2 ft ', '202110220CLE', '5:12.0')
('bridgmi02', 'smithis01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '4:26.0')
('oubreke01', 'smithis01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '2:27.0')
('haywago01', 'washipj01', ' makes 2-pt jump shot from 5 ft ', '202110220CLE', '1:11.0')
('markkla01', 'sextoco01', ' makes 3-pt jump shot from 23 ft ', '202110220CLE', '0:22.0')
('oubreke01', 'smithis01', ' makes 2-pt dunk from 1 ft ', '202110220CLE', '0:00.0')
('haywago01', 'plumlma01', ' makes 3-pt jump shot from 25 ft ', '202110220CLE', '11:09.0')
('sextoco01', 'rubiori01', ' makes 2-pt jump shot from 10 ft ', '202110220CLE', '10:21.0')
('bridgmi02', 'haywago01', ' makes 3-pt jump shot from 23 ft ', '202110220CLE', '9:58.0')
('plumlma01', 'haywago01', ' makes 2-pt dunk at rim ', '202110220CLE', '8:39.0')
('markkla01', 'rubiori01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '6:05.0')
('mobleev01', 'rubiori01', ' makes 2-pt jump shot from 8 ft ', '202110220CLE', '5:39.0')
('mobleev01', 'osmande01', ' makes 2-pt dunk from 1 ft ', '202110220CLE', '4:26.0')
('okorois01', 'osmande01', ' makes 2-pt dunk from 2 ft ', '202110220CLE', '3:21.0')
('oubreke01', 'haywago01', ' makes 3-pt jump shot from 28 ft ', '202110220CLE', '3:14.0')
('washipj01', 'smithis01', ' makes 2-pt layup from 1 ft ', '202110220CLE', '1:35.0')
('haywago01', 'martico01', ' makes 3-pt jump shot from 25 ft ', '202110220CLE', '0:59.0')
('rubiori01', 'okorois01', ' makes 3-pt jump shot from 24 ft ', '202110220CLE', '0:36.0')
('bridgmi02', 'haywago01', ' makes 2-pt layup at rim ', '202110220CLE', '11:18.0')
('bridgmi02', 'haywago01', ' makes 3-pt jump shot from 27 ft ', '202110220CLE', '10:46.0')
('haywago01', 'ballla01', ' makes 3-pt jump shot from 27 ft ', '202110220CLE', '10:04.0')
('martico01', 'haywago01', ' makes 2-pt dunk from 2 ft ', '202110220CLE', '9:07.0')
('haywago01', 'ballla01', ' makes 3-pt jump shot from 23 ft ', '202110220CLE', '8:33.0')
('osmande01', 'loveke01', ' makes 2-pt jump shot from 4 ft ', '202110220CLE', '7:08.0')
('bridgmi02', 'martico01', ' makes 3-pt jump shot from 27 ft ', '202110220CLE', '5:42.0')
('bridgmi02', 'roziete01', ' makes 2-pt dunk at rim ', '202110220CLE', '4:49.0')
('allenja01', 'mobleev01', ' makes 2-pt layup at rim ', '202110220CLE', '4:36.0')
('bridgmi02', 'washipj01', ' makes 2-pt dunk from 1 ft ', '202110220CLE', '4:11.0')
('oubreke01', 'washipj01', ' makes 3-pt jump shot from 23 ft ', '202110220CLE', '3:39.0')
('wadede01', 'nembhrj01', ' makes 3-pt jump shot from 24 ft ', '202110220CLE', '0:13.0')
('rubiori01', 'mobleev01', ' makes 2-pt layup at rim ', '202110230CLE', '11:11.0')
('capelca01', 'bogdabo01', ' makes 2-pt dunk from 1 ft ', '202110230CLE', '10:40.0')
('youngtr01', 'capelca01', ' makes 2-pt jump shot from 19 ft ', '202110230CLE', '10:08.0')
('allenja01', 'rubiori01', ' makes 2-pt dunk from 1 ft ', '202110230CLE', '9:02.0')
('mobleev01', 'markkla01', ' makes 2-pt layup from 2 ft ', '202110230CLE', '8:42.0')
('allenja01', 'okorois01', ' makes 2-pt dunk from 1 ft ', '202110230CLE', '6:17.0')
('capelca01', 'huertke01', ' makes 2-pt dunk from 1 ft ', '202110230CLE', '6:00.0')
('huntede01', 'youngtr01', ' makes 3-pt jump shot from 23 ft ', '202110230CLE', '5:11.0')
('loveke01', 'rubiori01', ' makes 3-pt jump shot from 26 ft ', '202110230CLE', '4:54.0')
('sextoco01', 'okorois01', ' makes 2-pt jump shot from 6 ft ', '202110230CLE', '4:06.0')
('reddica01', 'huertke01', ' makes 3-pt jump shot from 28 ft ', '202110230CLE', '1:49.0')
('mobleev01', 'loveke01', ' makes 2-pt layup from 2 ft ', '202110230CLE', '0:35.0')
('mobleev01', 'sextoco01', ' makes 2-pt dunk from 1 ft ', '202110230CLE', '11:40.0')
