('randlju01', 'burksal01', ' makes 3-pt jump shot from 25 ft ', '202111080PHI', '4:55.0')
('curryse01', 'maxeyty01', ' makes 3-pt jump shot from 23 ft ', '202111080PHI', '4:05.0')
('randlju01', 'quickim01', ' makes 3-pt jump shot from 25 ft ', '202111080PHI', '2:56.0')
('niangge01', 'curryse01', ' makes 2-pt layup from 2 ft ', '202111080PHI', '2:16.0')
('miltosh01', 'maxeyty01', ' makes 2-pt layup from 3 ft ', '202111080PHI', '11:23.0')
('burksal01', 'toppiob01', ' makes 2-pt jump shot from 4 ft ', '202111080PHI', '11:04.0')
('toppiob01', 'rosede01', ' makes 2-pt layup from 1 ft ', '202111080PHI', '10:27.0')
('rosede01', 'quickim01', ' makes 2-pt jump shot from 17 ft ', '202111080PHI', '9:56.0')
('quickim01', 'toppiob01', ' makes 3-pt jump shot from 26 ft ', '202111080PHI', '9:16.0')
('miltosh01', 'maxeyty01', ' makes 2-pt jump shot from 7 ft ', '202111080PHI', '8:00.0')
('burksal01', 'barrerj01', ' makes 3-pt jump shot from 22 ft ', '202111080PHI', '7:40.0')
('barrerj01', 'quickim01', ' makes 3-pt jump shot from 26 ft ', '202111080PHI', '6:56.0')
('drumman01', 'miltosh01', ' makes 2-pt dunk from 3 ft ', '202111080PHI', '5:57.0')
('niangge01', 'curryse01', ' makes 3-pt jump shot from 25 ft ', '202111080PHI', '5:01.0')
('randlju01', 'walkeke02', ' makes 3-pt jump shot from 27 ft ', '202111080PHI', '4:21.0')
('korkmfu01', 'maxeyty01', ' makes 3-pt jump shot from 24 ft ', '202111080PHI', '3:14.0')
('randlju01', 'walkeke02', ' makes 3-pt jump shot from 25 ft ', '202111080PHI', '2:54.0')
('drumman01', 'curryse01', ' makes 2-pt dunk from 3 ft ', '202111080PHI', '1:00.0')
('maxeyty01', 'korkmfu01', ' makes 3-pt jump shot from 26 ft ', '202111080PHI', '0:27.0')
('alexani01', 'ingrabr01', ' makes 2-pt jump shot from 19 ft ', '202110200NOP', '11:24.0')
('embiijo01', 'maxeyty01', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '9:41.0')
('valanjo01', 'ingrabr01', ' makes 2-pt dunk from 1 ft ', '202110200NOP', '8:44.0')
('embiijo01', 'curryse01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '7:22.0')
('curryse01', 'embiijo01', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '6:49.0')
('hartjo01', 'grahade01', ' makes 2-pt jump shot from 15 ft ', '202110200NOP', '6:35.0')
('harrito02', 'embiijo01', ' makes 2-pt jump shot from 10 ft ', '202110200NOP', '6:08.0')
('harrito02', 'embiijo01', ' makes 2-pt layup from 1 ft ', '202110200NOP', '5:05.0')
('maxeyty01', 'embiijo01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '4:45.0')
('alexani01', 'ingrabr01', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '4:29.0')
('niangge01', 'korkmfu01', ' makes 2-pt jump shot from 15 ft ', '202110200NOP', '0:42.0')
('korkmfu01', 'niangge01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '11:27.0')
('ingrabr01', 'murphtr02', ' makes 2-pt layup from 1 ft ', '202110200NOP', '11:15.0')
('thybuma01', 'drumman01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '10:32.0')
('niangge01', 'drumman01', ' makes 3-pt jump shot from 24 ft ', '202110200NOP', '10:06.0')
('niangge01', 'korkmfu01', ' makes 3-pt jump shot from 23 ft ', '202110200NOP', '9:21.0')
('lewiski01', 'hartjo01', ' makes 3-pt jump shot from 24 ft ', '202110200NOP', '8:19.0')
('alexani01', 'valanjo01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '6:39.0')
('curryse01', 'maxeyty01', ' makes 2-pt jump shot from 23 ft ', '202110200NOP', '6:30.0')
('ingrabr01', 'lewiski01', ' makes 2-pt jump shot from 14 ft ', '202110200NOP', '5:33.0')
('valanjo01', 'ingrabr01', ' makes 2-pt jump shot from 11 ft ', '202110200NOP', '4:16.0')
('alexani01', 'valanjo01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '2:52.0')
('valanjo01', 'ingrabr01', ' makes 3-pt jump shot from 25 ft ', '202110200NOP', '2:21.0')
('ingrabr01', 'alexani01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '1:22.0')
('embiijo01', 'harrito02', ' makes 2-pt layup from 2 ft ', '202110200NOP', '0:39.0')
('ingrabr01', 'grahade01', ' makes 2-pt dunk at rim ', '202110200NOP', '0:05.0')
('embiijo01', 'maxeyty01', ' makes 2-pt jump shot from 11 ft ', '202110200NOP', '11:19.0')
('ingrabr01', 'grahade01', ' makes 2-pt jump shot from 18 ft ', '202110200NOP', '11:07.0')
('ingrabr01', 'grahade01', ' makes 2-pt jump shot from 17 ft ', '202110200NOP', '10:38.0')
('grahade01', 'valanjo01', ' makes 2-pt jump shot from 11 ft ', '202110200NOP', '10:04.0')
('alexani01', 'murphtr02', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '9:16.0')
('maxeyty01', 'embiijo01', ' makes 2-pt layup from 1 ft ', '202110200NOP', '7:56.0')
('alexani01', 'grahade01', ' makes 3-pt jump shot from 24 ft ', '202110200NOP', '6:38.0')
('maxeyty01', 'curryse01', ' makes 3-pt jump shot from 24 ft ', '202110200NOP', '5:30.0')
('grahade01', 'marshna01', ' makes 3-pt jump shot from 22 ft ', '202110200NOP', '2:15.0')
('curryse01', 'harrito02', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '1:35.0')
('ingrabr01', 'satorto01', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '11:30.0')
('ingrabr01', 'satorto01', ' makes 2-pt dunk from 1 ft ', '202110200NOP', '10:20.0')
('korkmfu01', 'maxeyty01', ' makes 3-pt jump shot from 25 ft ', '202110200NOP', '9:11.0')
('ingrabr01', 'lewiski01', ' makes 2-pt jump shot from 17 ft ', '202110200NOP', '8:34.0')
('korkmfu01', 'drumman01', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '8:13.0')
('niangge01', 'korkmfu01', ' makes 3-pt jump shot from 24 ft ', '202110200NOP', '7:29.0')
('maxeyty01', 'korkmfu01', ' makes 3-pt jump shot from 26 ft ', '202110200NOP', '5:52.0')
('alexani01', 'ingrabr01', ' makes 3-pt jump shot from 25 ft ', '202110200NOP', '5:33.0')
('drumman01', 'korkmfu01', ' makes 2-pt layup from 1 ft ', '202110200NOP', '5:11.0')
('grahade01', 'templga01', ' makes 3-pt jump shot from 25 ft ', '202110200NOP', '4:13.0')
('reedpa01', 'maxeyty01', ' makes 2-pt dunk from 1 ft ', '202110200NOP', '2:41.0')
('hayesja02', 'lewiski01', ' makes 2-pt dunk from 1 ft ', '202110200NOP', '2:26.0')
('maxeyty01', 'reedpa01', ' makes 2-pt jump shot from 11 ft ', '202110200NOP', '2:08.0')
('murphtr02', 'lewiski01', ' makes 3-pt jump shot from 23 ft ', '202110200NOP', '1:56.0')
('marshna01', 'lewiski01', ' makes 2-pt layup from 2 ft ', '202110200NOP', '1:33.0')
('murphtr02', 'marshna01', ' makes 3-pt jump shot from 28 ft ', '202110200NOP', '1:15.0')
('curryse01', 'embiijo01', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '11:48.0')
('claxtni01', 'hardeja01', ' makes 2-pt dunk from 1 ft ', '202110220PHI', '11:25.0')
('duranke01', 'hardeja01', ' makes 2-pt layup from 1 ft ', '202110220PHI', '9:48.0')
